Canal,Energía (keV),Cuentas,Eficiencia
548,276.09,78,0.011690834093152656
549,276.57,72,0.011670416523636378
550,277.06,71,0.011649647784575832
551,277.54,88,0.01162937519397671
552,278.02,81,0.011609173775727438
553,278.5,74,0.011589043156117864
554,278.98,78,0.011568982964045387
555,279.46,86,0.011548992830992066
556,279.95,74,0.011528658120322126
557,280.43,78,0.01150880845050192
558,280.91,72,0.011489027741940591
559,281.39,72,0.011469315636289076
560,281.87,82,0.011449671777672777
561,282.36,92,0.011429688699506706
562,282.84,63,0.011410181680551724
563,283.32,83,0.011390741848406561
564,283.8,88,0.011371368856933364
565,284.28,78,0.011352062362363951
566,284.77,76,0.011332421883925454
567,285.25,83,0.011313248728823043
568,285.73,97,0.011294141046345466
569,286.21,84,0.011275098502050981
570,286.69,77,0.011256120763768114
571,287.17,71,0.01123720750157646
572,287.66,70,0.01121796637771553
573,288.14,67,0.011199182413053801
574,288.62,69,0.011180461941327744
575,289.1,88,0.01116180464147831
576,289.58,69,0.01114321019460402
577,290.07,72,0.0111242928652034
578,290.55,90,0.011105824469067032
579,291.03,78,0.011087417975477973
580,291.51,73,0.011069073074029366
581,291.99,75,0.01105078945638298
582,292.48,65,0.011032187824148554
583,292.96,74,0.011014027118086382
584,293.44,94,0.010995926776777545
585,293.92,63,0.010977886500029807
586,294.4,82,0.010959905989635118
587,294.89,86,0.010941612224621972
588,295.37,70,0.010923751589877968
589,295.85,78,0.010905949832534305
590,296.33,46,0.010888206662197284
591,296.81,76,0.010870521790376779
592,297.29,71,0.010852894930470808
593,297.78,81,0.01083496038597465
594,298.26,60,0.010817449891328962
595,298.74,72,0.01079999655413175
596,299.22,85,0.01078260009521878
597,299.7,57,0.010765260237238106
598,300.19,78,0.010747617228021401
599,300.67,66,0.010730390911868583
600,301.15,68,0.010713220369671827
601,301.63,82,0.010696105331219433
602,302.11,65,0.010679045528039773
603,302.6,76,0.010661687008615044
604,303.08,80,0.010644738014306567
605,303.56,64,0.010627843454689135
606,304.04,75,0.010611003068148056
607,304.52,73,0.010594216594739891
608,305.01,63,0.010577135744499828
609,305.49,68,0.01056045743389123
610,305.97,58,0.0105438322611851
611,306.45,59,0.010527259973024896
612,306.93,57,0.010510740317659873
613,307.41,71,0.010494273044932318
614,307.9,61,0.01047751647681431
615,308.38,88,0.01046115430356282
616,308.86,58,0.010444843766811754
617,309.34,79,0.0104285846226832
618,309.82,64,0.01041237662883036
619,310.31,77,0.010395883478138468
620,310.79,58,0.010379778116955085
621,311.27,70,0.010363723183135871
622,311.75,60,0.010347718440370779
623,312.23,76,0.010331763653821836
624,312.72,77,0.010315527761690755
625,313.2,78,0.010299673217496351
626,313.68,68,0.010283867928936461
627,314.16,72,0.010268111666977926
628,314.64,58,0.01025240420400343
629,315.13,68,0.01023641960181578
630,315.61,56,0.010220810064434212
631,316.09,72,0.010205248646930443
632,316.57,54,0.010189735127270635
633,317.05,55,0.010174269284782966
634,317.53,85,0.010158850900147226
635,318.02,56,0.010143160023981492
636,318.5,65,0.010127836879800123
637,318.98,58,0.010112560539044937
638,319.46,69,0.010097330787727067
639,319.94,76,0.010082147413158368
640,320.43,61,0.010066695334816606
641,320.91,39,0.010051605036011225
642,321.39,61,0.010036560479259443
643,321.87,63,0.010021561457004589
644,322.35,58,0.010006607762942111
645,322.84,68,0.009991389075145232
646,323.32,66,0.009976526357175573
647,323.8,73,0.009961708351695813
648,324.28,70,0.00994693485734182
649,324.76,71,0.009932205673955242
650,325.25,69,0.00991721513124155
651,325.73,68,0.009902574886877786
652,326.21,61,0.009887978356067676
653,326.69,65,0.009873425343410765
654,327.17,74,0.009858915654667939
655,327.65,58,0.00984444909675275
656,328.14,59,0.009829725440889576
657,328.62,68,0.00981534545850287
658,329.1,67,0.009801008030576317
659,329.58,59,0.00978671296857304
660,330.06,71,0.00977246008506689
661,330.55,62,0.009757953578700716
662,331.03,53,0.009743785363328315
663,331.51,52,0.009729658766932428
664,331.99,61,0.009715573606471066
665,332.47,60,0.009701529699972592
666,332.96,61,0.009687235576298922
667,333.44,52,0.009673274486090924
668,333.92,49,0.009659354106561826
669,334.4,61,0.009645474259965972
670,334.88,52,0.009631634769589528
671,335.36,66,0.009617835459743238
672,335.85,56,0.009603789927752173
673,336.33,53,0.009590071283956926
674,336.81,75,0.00957639229611036
675,337.29,63,0.009562752792568189
676,337.77,59,0.009549152602674095
677,338.26,76,0.009535309449996877
678,338.74,60,0.00952178818954392
679,339.22,57,0.009508305733142628
680,339.7,70,0.009494861914037957
681,340.18,61,0.009481456566427808
682,340.67,64,0.00946781145160073
683,341.15,63,0.009454483346254764
684,341.63,61,0.00944119321726133
685,342.11,71,0.009427940902581922
686,342.59,59,0.0094147262410975
687,343.08,43,0.009401274945804063
688,343.56,58,0.009388135887095332
689,344.04,46,0.0093750340003857
690,344.52,47,0.009361969128187842
691,345.0,52,0.00934894111390176
692,345.48,36,0.009335949801808558
693,345.97,56,0.009322725533660432
694,346.45,52,0.00930980791885382
695,346.93,58,0.009296926541127565
696,347.41,62,0.009284081248243557
697,347.89,68,0.009271271888814284
698,348.38,59,0.009258232575549669
699,348.86,55,0.009245495373012518
700,349.34,47,0.009232793651719286
701,349.82,52,0.009220127263643053
702,350.3,50,0.009207496061578366
703,350.79,60,0.009194637850640359
704,351.27,66,0.009182077307655944
705,351.75,77,0.00916955151093011
706,352.23,65,0.009157060316502838
707,352.71,50,0.009144603581207335
708,353.2,57,0.009131922726176073
709,353.68,43,0.009119535193271848
710,354.16,39,0.009107181691778777
711,354.64,56,0.009094862081665081
712,355.12,49,0.009082576223665253
713,355.6,59,0.00907032397927497
714,356.09,48,0.009057851008057144
715,356.57,60,0.009045666271499686
716,357.05,53,0.009033514734723072
717,357.53,47,0.009021396262231291
718,358.01,54,0.009009310719263888
719,358.5,46,0.008997007220665876
720,358.98,55,0.00898498781443281
721,359.46,38,0.008973000935051505
722,359.94,42,0.008961046450668907
723,360.42,32,0.008949124230142921
724,360.91,54,0.008936986773655477
725,361.39,47,0.00892512935560491
726,361.87,36,0.008913303809521404
727,362.35,41,0.00890151000707341
728,362.83,62,0.008889747820616627
729,363.32,48,0.008877773067598266
730,363.8,52,0.008866074384969834
731,364.28,55,0.008854406936868023
732,364.76,36,0.008842770598366089
733,365.24,53,0.008831165245201849
734,365.72,48,0.008819590753773362
735,366.21,52,0.008807806832277183
736,366.69,51,0.008796294332681132
737,367.17,61,0.008784812325405117
738,367.65,42,0.008773360689457966
739,368.13,37,0.008761939304487026
740,368.62,50,0.008750311052540451
741,369.1,53,0.008738950434989222
742,369.58,43,0.008727619708684716
743,370.06,55,0.008716318755799883
744,370.54,44,0.008705047459125502
745,371.03,59,0.008693571812076995
746,371.51,45,0.00868236009041019
747,371.99,54,0.00867117767459547
748,372.47,47,0.008660024449867269
749,372.95,46,0.008648900302057885
750,373.44,50,0.008637574275093885
751,373.92,42,0.00862650854084301
752,374.4,52,0.008615471542220865
753,374.88,56,0.00860446316742466
754,375.36,44,0.00859348330523034
755,375.84,51,0.00858253184498873
756,376.33,47,0.008571381410675516
757,376.81,47,0.008560487010645013
758,377.29,35,0.008549620681768507
759,377.77,45,0.008538782315671315
760,378.25,53,0.008527971804535383
761,378.74,42,0.008516964694485473
762,379.22,51,0.008506210146749398
763,379.7,44,0.008495483131618355
764,380.18,54,0.008484783543476595
765,380.66,53,0.008474111277247301
766,381.15,41,0.008463244745212825
767,381.63,56,0.008452627373476218
768,382.11,45,0.008442037009470991
769,382.59,51,0.008431473550253086
770,383.07,42,0.008420936893400448
771,383.55,45,0.008410426937009712
772,384.04,53,0.00839972545853812
773,384.52,43,0.00838926915039637
774,385.0,48,0.00837883923800049
775,385.48,42,0.008368435621499946
776,385.96,45,0.008358058201546698
777,386.45,42,0.008347491503554358
778,386.93,47,0.00833716672125664
779,387.41,45,0.008326867838412242
780,387.89,45,0.008316594757662048
781,388.37,45,0.008306347382133821
782,388.86,37,0.008295912933594746
783,389.34,45,0.008285717210329134
784,389.82,47,0.008275546902576965
785,390.3,37,0.008265401915393352
786,390.78,42,0.008255282154305328
787,391.27,43,0.008244977487113923
788,391.75,59,0.008234908417316262
789,392.23,50,0.00822486429106325
790,392.71,44,0.008214845015749988
791,393.19,38,0.00820485049922895
792,393.67,58,0.008194880649807274
793,394.16,37,0.008184728443725304
794,394.64,45,0.008174808164371359
795,395.12,35,0.008164912277860304
796,395.6,47,0.008155040694299103
797,396.08,45,0.008145193324235451
798,396.57,48,0.008135165683602327
799,397.05,51,0.008125366973735691
800,397.53,46,0.008115592209795647
801,398.01,41,0.00810584130407512
802,398.49,31,0.008096114169294451
803,398.98,45,0.008086208814605143
804,399.46,40,0.00807652945226368
805,399.94,45,0.008066873599774307
806,400.42,44,0.00805724117154995
807,400.9,36,0.008047632082418106
808,401.39,48,0.008037846789400886
809,401.87,41,0.008028284606396228
810,402.35,36,0.008018745507684511
811,402.83,42,0.00800922940973506
812,403.31,38,0.007999736229419345
813,403.79,47,0.007990265884008634
814,404.28,45,0.007980621707676749
815,404.76,48,0.00797119725691331
