Canal,Energía (keV),Cuentas
1594,781.43,10
1595,781.92,13
1596,782.4,14
1597,782.88,15
1598,783.36,18
1599,783.85,16
1600,784.33,16
1601,784.81,16
1602,785.3,18
1603,785.78,14
1604,786.26,20
1605,786.75,15
1606,787.23,11
1607,787.71,25
1608,788.19,16
1609,788.68,15
1610,789.16,16
1611,789.64,18
1612,790.13,13
1613,790.61,14
1614,791.09,18
1615,791.58,21
1616,792.06,14
1617,792.54,18
1618,793.02,20
1619,793.51,13
1620,793.99,12
1621,794.47,18
1622,794.96,16
1623,795.44,17
1624,795.92,18
1625,796.41,16
1626,796.89,12
1627,797.37,7
1628,797.86,15
1629,798.34,17
1630,798.82,14
1631,799.3,12
1632,799.79,14
1633,800.27,15
1634,800.75,10
1635,801.24,18
1636,801.72,17
1637,802.2,17
1638,802.69,17
1639,803.17,11
1640,803.65,20
1641,804.13,15
1642,804.62,12
1643,805.1,16
1644,805.58,16
1645,806.07,11
1646,806.55,14
1647,807.03,15
1648,807.52,10
1649,808.0,11
1650,808.48,13
1651,808.96,12
1652,809.45,16
1653,809.93,9
1654,810.41,11
1655,810.9,12
1656,811.38,17
